id,name,area.name,salary.from,salary.to,salary.currency,salary.gross,employer.name,snippet.requirement,snippet.responsibility,schedule.name
72220912,Data engineer (ДИР),Москва,,,,,"Иннотех, Группа компаний",Вместе с нам ты будешь: Какие знания и навыки для нас важны: Опыт работы в роли разработчика DWH не менее...,Миграция на Airflow + dbt + PL/pgSQL. Разработка трансформаций Hadoop / Greenplum (<highlighttext>Data</highlighttext> Vault) для целей построения витрин данных. ,Удаленная работа
74923706,Data Engineer,Москва,,,,,Data-Driven Lab,Релевантный опыт работы от 2х лет в роли <highlighttext>Data</highlighttext> <highlighttext>engineer</highlighttext>. Опыт работы с базами данных и хранилищами широкого профиля...,"Проектирование решения DWH / DataLake (на базе облачного Databricks), участие в проработке архитектуры и логики сервисов сбора данных совместно с командами...",Удаленная работа
77120466,Data Engineer (Backend),Москва,,,,,Цифромед,"...C++, Apache Spark, Hadoop, MapReduce, Airflow, <highlighttext>Data</highlighttext> Analysis, <highlighttext>Data</highlighttext> Mining, Dashboards. Приветствуется ML и <highlighttext>Data</highlighttext> Science, Java платформы, микросервисная архитектура...","Проектирование и разработка программно-технологической инфраструктуры витрин и хранилищ аналитических данных, ETL потоков данных, BI. Разработка и интеграционных модулей для...",Полный день
77245139,Data engineer (SCALA),Москва,,,,,Spice Agency,"Опыт работы с Apache Spark, Apache Spark structured streaming, Flink, Kafka. Опыт работы с экосистемой кластера Hadoop (CDP, Arenadata, Hortonworks). ","Разрабатывать пайплайны загрузки данных из различных источников (РСУБД, NoSQL, files, streaming) в Datalake. Реализовать PoC (MVP) с использованием новых инструментов...",Полный день
76954495,Data Engineer (DWH),Санкт-Петербург,,,,,Peter Partner,"Уверенное владение Python. Владение SQL, понимание принципов оптимизации запросов и организации хранения данных. Автономность и проактивность в работе - умение находить...","Выстраивание и поддержка процессов <highlighttext>data</highlighttext> quality (health-метрики, алерты). Поддержка и развитие инфраструктуры A/B тестирования. Базы данных: Postgres, Clickhouse...",Удаленная работа
69418341,Data Engineer направления разработки витрин данных,Москва,,,,,"Иннотех, Группа компаний","Какие знания и навыки для нас важны: Знание SQL. Хорошее знание устройства Hadoop,Spark,Hive/Impala. Опыт разработки на Python...",Заниматься проектированием и разработкой витрин данных для анализа и моделирования. Заниматься мониторингом и оптимизацией процессов сборки витрин. Заниматься загрузкой и...,Полный день
76691650,Data Инженер,Москва,230000.0,,RUR,False,Автостэлс,"Отличное знание SQL и его процедурных расширений (T-SQL, PL/SQL). Технический стек: Greenplum, PostgreSQL, Apache NiFi, Apache Airflow, S...","Участие в проектировании и разработке Аналитической платформы. Разработка процессов загрузки, оркестрации и трансформации данных. Разработка и наполнение слоев хранилища данных. ",Полный день
77080599,Business Data Engineer,Екатеринбург,,,,,Тинькофф,Высшее техническое образование. Опыт работы с базами данных в качестве разработчика от 1 года. Свободное владение SQL. Опыт проектирования объектов...,"Быть экспертом по данным: помогать аналитикам в решении вопросов с источниками данных, моделью данных DWH. Разрабатывать витрины в помощь аналитикам. ",Полный день
77122368,Junior + Data Engineer в СберМаркет,Москва,,,,,СберМаркет,"Оконченное профильное образование (математика, информатика, физика) - мы рассматриваем кандидатов на полную занятость. Базовое знание SQL (джойны, агрегатные функции, оконные функции). ","Автоматизацией <highlighttext>data</highlighttext>-pipelines, ETL процессов (AirFlow). Подготовкой витрин данных и оптимизацией существующих (ClickHouse). Разработка внутренних инструментов и библиотек, облегчающих работу...",Полный день
74267349,Middle/Senior Data Engineer (SberDevices),Москва,,,,,СБЕР,"Практический опыт участия в проектах по созданию DWH, <highlighttext>Data</highlighttext> lake, <highlighttext>Data</highlighttext> management platforms. Практический опыт разработки и оптимизации запросов к...",Участие в создании инфраструктуры управления корпоративными данными. Разработка процедур потоковой и пакетной загрузки данных из различных типов внешних источников: Сырые...,Полный день
